gene,tda_importance,tda_rank,euclidean_t,euclidean_p,euclidean_rank
CPA5,0.47360104,337,-1.5439886,0.12501663,16255
TRPS1,0.47342387,338,6.209986,9.793441e-09,7695
SLC5A4,0.47321337,339,-8.476086,2.0453462e-13,5295
LOC100287846,0.47288236,340,2.2102466,0.028022638,14624
TMEM169,0.47269782,341,-3.7785003,0.0002590314,11542
LOC100630918,0.47265413,342,-0.18004456,0.8574306,20289
PNPLA1,0.47249436,343,5.8843184,8.302613e-09,7644
FOXJ2,0.47180212,344,-6.4642577,2.20128e-09,7290
C20orf20,0.4715436,345,15.127229,1.2639393e-31,1337
CTSC,0.4713604,346,-2.5180175,0.013035108,13990
TRUB1,0.47039503,347,4.0950828,7.56564e-05,10891
GPATCH3,0.4696199,348,-2.5704072,0.0114698745,13897
UNK,0.46948647,349,-0.46320266,0.6440855,19374
RPL17-C18ORF32,0.46918023,350,0.37145853,0.7110351,19665
ZNF321P,0.46874404,351,0.605875,0.54578376,18911
SLC6A11,0.4686843,352,1.1362451,0.2579377,17290
RPL35,0.4684474,353,-2.1015549,0.037832834,14924
TPTE,0.4683619,354,-0.1837005,0.8544512,20280
ITGA2B,0.46733117,355,1.2612206,0.20895538,16963
MIR944,0.46669412,356,-0.86790603,0.38773796,18049
WTH3DI,0.4664034,357,2.5124946,0.013074782,13995
C14orf180,0.46634412,358,-12.335987,1.6195007e-21,2920
SLC25A13,0.46587282,359,3.8488445,0.00017199409,11296
CECR1,0.4658536,360,-1.8355747,0.06899455,15530
LOC100131726,0.46568745,361,7.9855747,8.626391e-15,4803
IFNA21,0.46512097,362,-1.1954011,0.23451494,17134
HINT3,0.46481544,363,-5.683793,8.163512e-08,8316
KCTD9,0.46471334,364,-10.212741,9.4601785e-18,3844
TAS2R38,0.46422902,365,3.5209005,0.0005186961,11906
C9orf131,0.46354514,366,-6.5765195,2.1608522e-09,7283
MYL2,0.4633898,367,-3.9956155,0.00012138015,11124
GPR137,0.46014848,368,15.197049,1.233718e-38,794
ZNF827,0.46002743,369,-2.656891,0.009071137,13743
LOC100133308,0.4598225,370,-0.6118968,0.5418066,18888
LOC646743,0.45944595,371,-0.40101162,0.68934584,19576
TRIT1,0.45920992,372,-0.751269,0.45402572,18415
PGRMC1,0.45878088,373,-0.69730836,0.4866973,18607
FBXW7,0.4582537,374,-15.935484,3.4644616e-32,1296
VWA2,0.4581865,375,1.8989246,0.059927322,15378
PALM,0.45789224,376,-9.759929,8.931699e-17,4138
LCLAT1,0.45719692,377,7.3678436,2.6167029e-11,6268
LLGL2,0.4568605,378,11.301524,8.0571754e-20,3296
MGC39372,0.45678037,379,-2.3368592,0.021316098,14383
RPL19P12,0.45644552,380,-1.1606599,0.24784331,17222
FNBP1,0.45571852,381,-2.153888,0.033042047,14785
SNORD15B,0.45565027,382,0.22611089,0.8215423,20145
FBXO45,0.4550975,383,10.340482,1.0424823e-18,3589
LOC100286922,0.45506114,384,3.0892112,0.0021228376,12741
GATAD2B,0.455053,385,3.756555,0.000248626,11519
LOC100507217,0.45491078,386,-5.5537724,1.821245e-07,8560
LOC100130093,0.45476478,387,2.3896751,0.018395217,14267
STAC3,0.45447367,388,7.472426,1.9335967e-11,6199
GRIK1-AS1,0.45393038,389,-7.9306097,2.945448e-12,5798
ASAH2,0.4537745,390,1.6667542,0.098349,15993
KCTD10,0.45353544,391,-11.89977,2.0216064e-21,2938
RIPK2,0.45301813,392,10.236034,5.3907304e-19,3514
TAS2R60,0.45280686,393,1.3174736,0.19032188,16843
GPR17,0.4526346,394,-13.512136,2.5075886e-24,2343
MGLL,0.45241255,395,-14.067219,1.7107139e-26,1960
LOC100507250,0.4522041,396,1.5096726,0.13365464,16344
MIR4752,0.45209864,397,-0.27210048,0.78614473,19987
SPO11,0.45209256,398,3.4150267,0.00070682546,12080
LOC100505681,0.45201826,399,-7.252044,1.9950612e-11,6205
SLFN12L,0.45196095,400,-4.6523123,9.455363e-06,10010
PLA2R1,0.45189494,401,-13.371905,4.631911e-25,2212
CGB5,0.45178375,402,-2.4346178,0.016465262,14182
PCDH12,0.45127678,403,-4.0479054,0.000102697886,11029
CNIH2,0.4511654,404,24.637463,0.0,73
CYP46A1,0.45066637,405,-11.89654,2.0406237e-21,2940
PSG2,0.45044902,406,-0.4729375,0.6371739,19348
NPM2,0.45027608,407,-8.590863,7.913829e-14,5135
SNORD15A,0.44945747,408,2.1045065,0.03758771,14914
FAM176A,0.4489696,409,1.3411958,0.1827101,16772
LCN12,0.44834012,410,6.140083,6.6709425e-09,7584
FES,0.44754606,411,-8.368478,2.449784e-13,5341
SNX18,0.4473346,412,-7.9143524,2.9675839e-12,5799
TRPV3,0.4472485,413,-3.722566,0.00028131602,11584
