gene,tda_importance,tda_rank,euclidean_t,euclidean_p,euclidean_rank
LAMA4,152.99026,434,-10.139557,4.2649647e-17,4961
MAPK7,152.96494,435,-6.137338,7.694677e-09,8457
HAAO,152.81146,436,-19.426815,0.0,781
FURIN,152.38449,437,-0.32850558,0.7429616,19860
KIAA0753,151.97968,438,-2.3247473,0.021920789,14681
NDUFV3,151.81918,439,-0.62952155,0.5301443,18883
AP1M2,151.77136,440,18.753908,0.0,846
SUSD3,151.37274,441,7.603478,5.1825324e-12,6821
LAP3,150.46062,442,2.7391608,0.0068246797,13749
CLIP3,150.00989,443,-17.353172,1.0763816e-37,1236
ARPC5L,149.99026,444,16.34974,6.4885136e-33,1737
GAB1,149.61914,445,-6.7822895,4.5938497e-10,7769
MARK4,149.28014,446,7.32298,2.932991e-11,7177
TINAGL1,149.18547,447,-34.374283,0.0,32
TCF20,149.00058,448,-0.10972172,0.912818,20556
ANP32A,148.932,449,6.8589587,9.654172e-11,7422
OVCH1,148.76242,450,-6.495246,2.7800542e-09,8187
DDX31,148.50636,451,3.0040796,0.0033141153,13302
ELAVL1,147.79172,452,17.244904,2.39577e-40,1042
BSG,147.16798,453,8.536503,4.047954e-14,5972
WEE1,146.69592,454,-4.484179,1.989849e-05,10892
APEH,146.55206,455,12.480312,2.5514086e-25,2905
ATXN10,146.21161,456,4.939201,1.765623e-06,10029
DDX28,146.20477,457,-1.3760854,0.17119132,16769
TXLNA,146.01607,458,1.8398378,0.068183094,15685
DNM1P35,145.89583,459,-6.214864,5.0044995e-09,8335
SFRP1,145.77435,460,-35.088154,0.0,25
TFAP2C,145.69678,461,-2.3430607,0.02113833,14652
VCX2,145.61563,462,2.9903333,0.0029770825,13227
RIMS2,145.56392,463,7.132518,6.1565132e-12,6865
PRDM6,145.52138,464,-0.32565275,0.7452491,19870
STK40,145.4201,465,-10.107077,1.3327006e-17,4790
SSBP4,145.34938,466,7.1944146,2.2621656e-11,7121
PTPN9,144.93176,467,0.027800301,0.9778665,20780
FLJ13224,144.82104,468,-0.08494151,0.9324608,20624
PDLIM1,144.76585,469,-14.588393,2.379373e-31,1907
